id,track_name,track_artists,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1wefTHpKzebYTQXUtZhSKD,Room Service,KISS,rock,0.527,0.948,6.0,-5.325,1.0,0.0494,0.281,5.27e-05,0.22399999999999998,0.8420000000000001,153.395,181333.0,4.0
4CgH9V2G8vg0UvIFbEq8QT,Bye Bye Love,The Cars,rock,0.626,0.741,4.0,-7.817,1.0,0.0298,0.0378,0.0023899999999999998,0.282,0.9109999999999999,126.51299999999999,255160.0,4.0
1js1ZM3OmT3C1eqzdOsnYY,"Lover of the Bayou - Live at the Felt Forum, NYC, NY - March 1970",The Byrds,rock,0.513,0.7140000000000001,9.0,-10.354000000000001,0.0,0.0368,0.00132,0.00266,0.113,0.583,105.426,219227.0,4.0
4TrnGkLwWzF2irMc0zl7qc,Amazing Grace,Jadon Lavik,rock,0.526,0.35100000000000003,7.0,-9.37,1.0,0.0322,0.735,8.32e-06,0.145,0.325,123.149,199000.0,4.0
6Z7Ms0ymWgen8D4hah0aOh,"Scythian Suite, Opus 20 II: The Enemy God And The Dance Of The Dark Spirits (Live)",Metallica,rock,0.43700000000000006,0.642,0.0,-10.793,1.0,0.0864,0.376,0.0027,0.732,0.16,117.35799999999999,219240.0,4.0
2hwWb4IVjEz4SngtAtSZRn,For Whom the Bell Tolls (Live),Metallica,rock,0.276,0.9490000000000001,1.0,-7.676,1.0,0.0867,7.55e-06,0.109,0.8759999999999999,0.11800000000000001,131.589,276640.0,4.0
6pRXwJRJ9x8D8WOCXsJgl1,Changes - 1990 Remaster,David Bowie,rock,0.527,0.264,0.0,-14.158,1.0,0.0351,0.6779999999999999,0.0,0.165,0.40299999999999997,113.699,215160.0,4.0
7J4uwuiyWB7BqIcyNdcVRl,Vampires Will Never Hurt You,My Chemical Romance,rock,0.327,0.963,4.0,-8.871,0.0,0.174,0.0118,0.0,0.17600000000000002,0.19899999999999998,98.416,326507.0,4.0
0xOYmjOSboHaeDTmGqJtz2,Houses of the Holy - 1990 Remaster,Led Zeppelin,rock,0.629,0.8640000000000001,9.0,-7.561,1.0,0.034,0.11199999999999999,0.247,0.648,0.958,123.325,242080.0,4.0
0eTNLIPzgURsXMdgX4cdpJ,LN Granada,Supersubmarina,rock,0.5539999999999999,0.919,9.0,-3.615,1.0,0.0515,0.00511,0.0004969999999999999,0.519,0.386,140.009,191747.0,1.0
01hCkqkG9Z96qBXNknoKFp,These Colours Don't Run,Iron Maiden,rock,0.309,0.9309999999999999,4.0,-5.789,0.0,0.12,0.00762,0.0058,0.11,0.245,99.726,413080.0,4.0
